Food,Serving,Total Weight (gms),Ingredients
Crispy Prawn Rolls,1,184,Shrimp-75 gms; Onion-15 gms; soya sauce-15 gms; Common salt-15 gms;Black Pepper-4 gms; Cooking oil-15 gms; Lemon-15 gms; Garlic powder-15 gms; Ginger powder-15 gms
Prawn Masala Dumpling,3,105,Shrimp-30 gms; Onion-20 gms; Cooking oil-15 gms; Wheat-40 gms
Sesame Chicken Salad,1,495,Chicken-100 gms; Lettuce Leaf-80 gms; CABBAGE-80 gms; carrot-50 gms; CUCUMBER-50 gms; Capsicum-50 gms; Onion-60 gms; Common salt-15 gms; Ginger-5 gms;Garlic-5 gms
Fish Fingers (Grilled / Roasted ),1,453,fish-70 gms; Turmeric powder-4 gms; Lemon-7 gms; Ginger-15 gms; Garlic-15 gms; Common salt-7 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Rice Flour-150 gms; Besan-125 gms
Prawn Cutlet,3,117,Shrimp-60 gms; POTATO-20 gms; Onion-7 gms; Turmeric powder-4 gms;Lemon-4 gms; Coriander leaves-15 gms; Common salt-7 gms
Rice milk,1,129,Common salt-4 gms; Rice-125 gms
CHICKEN SALAMI SALAD,1,422,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-0.5 gms; Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
CHICKEN SAUSAGES SALAD,1,424,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-7 gms;Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
Chicken Salami Toast,2,452,Bread-60 gms; Chicken Salami-10 gms;Onion-125 gms; Tomato-90 gms; Capsicum-150 gms; Red chilli Powder-15 gms; Turmeric powder-1 gms; Common salt-1 gms
Sabudana Cutlet/Tikki,1,113,Sabudana-62 gms; Ginger powder-7 gms; Coriander leaves-7 gms; Red Chilli Powder-7 gms; Common salt-15 gms; Cooking Oil-15 gms
Chicken Satay,4,651,Chicken-60 gms; Lemon-15 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Yoghurt-15 gms; Garlic powder-15 gms; Red chilli Powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Common salt-7 gms; Olive oil-15 gms; Peanuts-200 gms; milk-250 gms ; Ginger powder-7 gms
Coconut Chutney,2,37,Salt-0.34 gms; Chickpeas-6.75 gms; Chillies-0.45 gms; Cooking Oil-1 gms; Mustard-0.4 gms; Coconut-9 gms
Sabudana Khichdi,1,125,Tapioca-62 gms; Common salt-15 gms; Cumin seeds-4 gms; Curry leaves-5 gms; POTATO-10 gms; Lemon-7 gms; CORIANDER-15 gms; Cooking oil-7 gms
Sabudana Vada,10,202,Tapioca-125 gms; POTATO-10 gms; Cumin seeds-7 gms; CORIANDER-15 gms; Common salt-15 gms; Lemon-15 gms; Cooking oil-15 gms
Masala Onion Salad,1,180,Chillies-15 gms; Common salt-7 gms; Coriander leaves-7 gms; Lemon-15 gms; Cumin seeds-7 gms; Chillies-4 gms; Onion-125 gms
"BELL PEPPER, ONION & TOMATO VegETABLE",1,555,Capsicum-70 gms; Onion-90 gms; Tomato-120 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-15 gms; Capsicum-200 gms
Roasted Makhana (Foxnuts),1,299,Makhana-250 gms; Common salt-15 gms;Black Pepper-4 gms; Chat Masala-15 gms; Cumin seeds-15 gms
Hummus,1,122,Gram dal-60 gms;Garlic-10 gms; Lemon-15 gms; Common salt-7 gms; Olive oil-15 gms; Cumin Powder-15 gms
Almond Flour Wrap,1,291,Common salt-15 gms; Onion-1 gms;Roti-100 gms; Egg-130 gms ; Garlic Powder-15 gms; Black pepper-15 gms; Olive oil-15 gms
Oats Porridge,2,430,Oats-150 gms; Milk-250 gms; Cinnamon-15 gms; Common salt-15 gms
MIX NUTS RAITA,1,313,Yoghurt-250 gms; Almond-10 gms; RAISINS-4 gms; Common salt-4 gms; Coriander leaves-15 gms; Black pepper-15 gms; Cumin seeds-15 gms
Rajma Kebab,4,184,Rajma-80 gms; carrot-15 gms; Potato-30 gms; Peas-15 gms; Common salt-7 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Cumin seeds-15 gms
Bhel (no papri),1,520,Rice-250 gms; Onion-15 gms; Tomato-120 gms; Cucumber-15 gms; carrot-15 gms; Potato-15 gms; Coriander leaves-30 gms; Common salt-15 gms; Lemon-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms
Veg Seeds Salad,1,293,Lettuce Leaf-80 gms; CUCUMBER-60 gms; Onion-30 gms; carrot-30 gms; Capsicum-30 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms;Garlic-3 gms; Common salt-15 gms; Black pepper-15 gms
Steam Vegetable Salad,1,577,carrot-60 gms; Lemon-15 gms; Zucchini-195 gms; Capsicum-150 gms; Onion-120 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Red chilli Powder-7 gms; Coriander Powder-7 gms; Coriander leaves-1 gms
FRUIT & NUTS (WALNUT & ALMOND) SALAD,1,292,Apple-90 gms; Grapes-62 gms; Almond-5 gms; PUMPKIN-15 gms; Sunflower seeds-15 gms; strawberry-105 gms
CHICKEN SALAD WITH ALMOND HONEY MUSTARD DRESSING,1,437,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Coriander leaves-7 gms; Mint leaves-2.5 gms; Almond-5 gms; HONEY-0.5 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
Almond Soup,4,1075,Common salt-15 gms; Almonds-250 gms; Onion-125 gms; garlic-5 gms; Celery-150 gms; Broth-500 gms; thyme-15 gms; Parsley-15 gms
ALMOND MUSHROOM SOUP,1,187,Almond-10 gms; MUSHROOM-62 gms; Common salt-15 gms; Milk-100 gms
Oats Smoothie,1,500,Banana-100 gms; Oats-150 gms; Almond Milk-250 gms
Smoothie (Almond Milk),1,615,Chia Seeds-15 gms; Almond Milk-250 gms; Pineapple-100 gms; Mango-250 gms
Kala Chana Soup,4,614,Cumin seeds-15 gms; Chickpeas-350 gmsTurmeric powder-15 gms; ;Onion-160 gms; Tomato-0.5  tomato; Garlic powder-7 gms; Ginger powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
Papaya Salad (raw papaya),1,530,Papaya-75 gms; carrot-60 gms; Common salt-15 gms; Chillies-15 gms; Coriander leaves-15 gms;Cucumber-200 gms; Onion-60 gms; Peanut-75 gms; Olive oil-15 gms
Pineapple & spinach salad,1,423,Spinach-150 gms; Common salt-7 gms; Black pepper-7 gms; Pineapple-250 gms; Walnut-9 gms
Foxtail Millet Pulao,4,449,Capsicum-150 gms; carrot-75 gms; Peas-75 gms; Onion-50 gms; Cumin seeds-15 gms; Common salt-15 gms; Ginger-1 piece; CLOVES-2 gms; Coriander Leaves-15 gms; Millets-200 gm; Tomato tomato; Chillies-15 gms; Turmeric powder-7 gms; Coriander Powder-15 gms; Cooking oil-15 gms
ALMOND FLOUR ROTI (20% almond flour + 80% wheat flour),1,107,Atta-80 gms; Yoghurt-7 gms; Almond Flour- 20 gms
ALMOND FLOUR ROTI (50% almond flour + 50% oats flour),1,365,"Almond Flour-100 gms; Oats-150 gms; Common salt-15 gms, Atta-100 gms"
ALMOND FLOUR ROTI (100% almond flour),1,200,ALMOND FLOUR-200 gms
ALMOND SOUP (WITH ALMOND MILK),1,350,Almond-10 gms; Peas-125 gms; Common salt-15 gms; Almond Milk-200 gms
Almond roti (50% almond flour and 50% normal atta),1,300,Wheat-150 gms; Almond flour-150 gms
Nuts and seeds salad,1,629,Almond-25 gms; Fig-25 gms; PUMPKIN SEED-30 gms; Sunflower seeds-30 gms; Lemon-10 gms; Lettuce leaf-4 gms; Cucumber-200 gms; Common salt-15 gms; Black pepper-15 gms; Walnut-275 gms
Coffee with Almond Milk (No Sugar),1,265,Almond Milk-250 gms; coffee-15 gms
Almond Flour Roti,5,522,Almond flour-500 gms; Common salt-7 gms; Olive oil-15 gms
Cashew Milk,3,550,Cashew-250 gms; Milk-300 gms
Apple Walnut Salad,1,177,Apple-150 g; Pomegranate-20 gms; Lemon-7 gms; Common salt-15 gms; Black Pepper-15 gms; Lettuce Leaf-60 gms; Spinach-60 gms
APPLE STEW,2,893,Apple-800 gms; HONEY-60 gms; Cinnamon-7 gms; NUTMEG-4 gms; Ginger powder-7 gms; Lemon-15 gms
Mixed fruit salad,1,794,Apple-200 gms; Pear-178 gms; Banana-101 gms; Grapes-150 gms; Strawberries-75 gms; Blueberries-75 gms; Mint leaves-15 gms
Chicken Minced Salad,2,420,Olive oil-15 gms; Common salt-15 gms; Chicken-20 gms; Onion-160 gms; Tomato-120 gms; Cucumber-25 gms; Chillies-15 gms; Ginger-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Coriander leaves-15 gms
Papaya Shake with Almond Milk,2,850,Papaya-350 gms; Almond Milk-500 gms
Broccoli Soup with coconut milk,1,885,"Broccoli-400 gms; Coconut milk-250 gms, Olive oil-15 gms; Onion-125 gms;Garlic-5 gms; POTATO-90 gms"
Apple Walnut Salad 2,2,228,Apple-200 gms; Walnut-11 gms; Olive oil-15 gms; HONEY-1 gms; Black pepper-1 gms
Roated Chickpeas,1,225,Chickpeas-150 gms; Cumin Powder-15 gms; Paprika powder-15 gms; Garlic Powder-15 gms; Common salt-15 gms; Black pepper-15 gms
Safed Matar with no oil,4,592,Peas-250 gms; Tomato-120 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-7 gms; Garam Masala-15 gms; Coriander leaves-5 gms;Onion-160 gms
Safed Matar Masala (No Oil),2,360,Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander Powder-55 gms; Turmeric powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Coffee with Almond Milk,2,512,Almond Milk-250 gms; Brewed Coffee-240 gms; Cinnamon-7 gms; HONEY-15 gms
Almonds and Walnut Raita,1,310,Almond-15 gms; WALNUT-15 gms; Yoghurt-250 gms; Coriander leaves-15 gms; Black pepper-15 gms
Suji Halwa,1,95,Semolina-75 gms; JAGGERY-0.5 gms; CARDAMOM-15 gms
Baked sweet potatoes,1,267,Sweet potato-200 gms ; Black pepper-7 gms; Olive oil-15 gms;Parsley-15 gms; Butter-15 gms; Garlic Powder-15 gms
Bajra Cheela,2,340,carrot-50 gms; Coriander leaves-15 gms; Chillies-10 gms; Mustard oil-15 gms; Common salt-15 gms;Onion-160 gms; Bajra flour-75 gms
Rice idli,5,158,Rice-75 gms; Fenugreek seeds-4 gms; Rice bran oil-4 gms; Urad Dal Flour-75 gms
Non Veg Cutlet,2,579,Potato-100 gms; Onion-50 gms;Garlic-15 gms; Ginger-15 gms; Chillies-15 gms; Turmeric powder-4 gms; Coriander leaves-15 gms; Sunflower oil-15 gms; Chicken-300 gms ; Garam Masala-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Common salt-15 gms
Quinoa Upma,2,422,Quinoa-125 gms; Mustard oil-15 gms; Cumin seeds-15 gms; Onion-62 gms; carrot-62 gms; Peas-62 gms; Capsicum-62 gms; Turmeric powder-4 gms; Coriander leaves-15 gms
Barley (Jaw) Water,1,15,Barley-15 gms
kari-Patta Saunf Ajawain Water,1,17,Curry leaves-2 gms; Ajwain-15 gms
Apple Shake,1,354,Apple-100 gms Milk-250 gms; Cinnamon-4 gms
Non Vegetarian Tacos,2,406,Chicken-80 gms; Onion-15 gms; Tomato-120 gms; Lettuce Leaf-15 gms; Coriander leaves-15 gms; Lemon-15 gms; Cooking oil-15 gms; Garlic-7 gms; Atta-120 gms; Chillies-4 gms
Baked Potato,2,345,Potato-300 gms; Coriander leaves-15 gms; Cumin seeds-4 gms; Coriander seeds-4 gms; Olive oil-7 gms; Red chilli Powder-15 gms
Chick Pea Salad,1,463,Chickpeas-15 gms;Cucumber-200 gms; Black pepper-15 gms; Onion-150 gms; Parsley-15 gms;Mint leaves-15 gms; Olive oil-7 gms; Lemon-15 gms;Garlic-15 gms; Common salt-15 gms; Black pepper-1 gms
Jaw cheela,1,303,Barley-45 gms; Chillies-7 gms; CORIANDER leaves-7 gms; Common salt-7 gms; Mustard oil-7 gms; Onion-125 gms; TOMATO-90 gms ; Red chilli Powder-15 gms;
Lettuce wrap (tofu),1,304,Lettuce Leaf-20 gms; Onion-60 gms; carrot-60 gms; Cucumber-60 gms; Tomato-60 gms; CORIANDER LEAVES-15 gms; Lemon-7 gms; Black pepper-7 gms; Mustard oil-15 gms; Tofu-50 g
Oats Roastie,1,372,Onion-125 gms; carrot-15 gms; Zucchini-15 gms; Potato-15 gms; Common salt-15 gms; Black pepper-7 gms; Cooking oil-15 gms; Oats-150 gms; Red chilli Powder-15 gms
Veg entree (Roasted),1,736,Garlic-10 gms; Common salt-15 gms; Capsicum-450 gms; Black pepper-7 gms; Onion-125 gms; Brinjal-82 gms; Mushroom-32 gms; Olive oil-15 gms
Chatpate Kale Masoor,1,635,Ginger-15 gms; Cumin seeds-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Dal dal-250 gms; Olive oil-30 gms;Onion-125 gms;Chillies-15 gms; Garlic powder-15 gms; Turmeric powder-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Tomato-90 gms
Veg tacos,1,480,carrot-62 gms; Peas-62 gms; Onion-60 gms; Tomato-30 gms; Capsicum-50 gms; Paneer-62 gms; Cumin seeds-7 gms; Turmeric powder-4 gms; Chillies-7 gms; Sunflower oil-15 gms; Common salt-7 gms; Coriander leaves-15 gms; Cabbage-62 gms;Yoghurt-30 gms; Lemon-7 gms
Dal Cheela Wrap,1,356,Gram dal-125 gms; Onion-15 gms; Tomato-120 gms; Capsicum-30 gms; Ginger-15 gms; Cumin seeds-7 gms; Turmeric powder-4 gms; Common salt-15 gms; Rice bran oil-15 gms; Lettuce Leaf-10 gms
Chicken Lollipop,4,700,Ginger-30 gms; Red chilli Powder-30 gms; Black pepper-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Rice Flour-30 gms; Egg-490 gms; Cooking oil-15 gms; Chicken-150 g; Corn Flour-30 gms
Jeera Aloo,4,585,POTATO-480 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Olive oil-30 gms; Red chilli Powder-15 gms
CHICKEN DUMPLING (Non Veg),4,506,Common salt-15 gms; Chicken-250 gms;Onion-160 gms;Garlic-1 gms; Turmeric powder-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Cumin seeds-15 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Tomato rice (Brown Rice),1,527,Rice-250 gms; TOMATO-90 gms; Onion-125 gms ; Turmeric powder-4 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; FENUGREEK SEEDS-7 gms; Curry leaves-3 ; Cooking oil-15 gms; Common salt-7 gms; Red chilli Powder-15 gms
"Tomato, Beetroot, Amla & Pudina Juice",1,184,TOMATO-90 gms; Beet root-50 gms; Amla-10 gms;Mint leaves-4 gms; Common salt-15 gms; ; Cumin seeds-15 gms
Lemon Rice,1,304,Rice-250 gms; Mustard oil-15 gms; Mustard seeds-4 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Lemon-15 gms; Common salt-7 gms; Curry leaves-5 gms
Chicken Korma,4,549,Chicken-100 gms; Ginger-7 gms;Garlic-7 gms; Cumin seeds-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Cooking oil-30 gms; Yoghurt-15 gms;Onion-160 gms; Tomato-140 gms; Cinnamon-15 gms; Turmeric powder-15 gms; Garam Masala-15 gms
Chicken with Staraniseed,1,479,Chicken-100 gms;Garlic-250 gms; Ginger-125 gms; Cinnamon-4 gms;
Quinoa,4,995,Quinoa-250 gms; Cooking oil-15 gms; Cumin seeds-15 gms;Onion-125 gms; capsicum-250 gms; carrot-250 gms; Ginger-15 gms; Garlic powder-15 gms; Coriander Powder-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Coriander leaves-15 gms
Nutri Rice (Soyabean),1,1066,Soyabean-62 gms; Rice-125 gms; carrot-125 gms; Peas-125 gms;Garlic-250 gms; Sunflower oil-4 gms; ONION -250 gms; Capsicum-125 gms
Dhaniya Ajwain Water,4,31,Coriander seeds-7 gms; Ajwain-24 gms
Dhaniya Water,1,15,Coriander seeds-15 gms
Detox Water,1,107,Bottle gourd-50 gms; Cucumber-40 gms; Ginger-5 gms;Mint leaves-5 gms ; Common salt-7 gms
Baked Chicken,3,129,Chicken-100 gms;Parsley-7 gms; Kali Mirch Powder-4 gms; Cooking Oil-7 gms; red chilli flakes-4 gms; Common salt-7 gms
BBQ Chicken,1,136,Chicken-100 gms;Parsley-7 gms; red chilli flakes-4 gms; Kali Mirch Powder-4 gms; Garlic-7 gms; Common salt-7 gms; Cooking Oil-7 gms
Carrot Beetroot Pudina Amla Juice,1,246,carrot-180 gms; Beet root-50 gms; Amla-10 gms; Mint leaves-6 gms
TABBOULEH,1,304,Wheat-45 gms;Parsley-20 gms;Mint leaves-10 gms; Cucumber-40 gms; Tomato-120 gms; Onion-20 gms; Lemon-15 gms; Common salt-4 gms; Olive oil-15 gms; Black pepper-15 gms
Lauki Cucumber Amla Lemon Juice,1,258,Bottle gourd-50 gms; Cucumber-200 gms; Amla-2.5 gms;Mint leaves-3 gms;
Jowar Roti (100%),1,350,Jowar Atta-350 gms
Jowar Roti (50% Jawar 50% Wheat atta),6,315,Jowar Atta-150 gms; Atta-150 gms; Common salt-15 gms;
Veg Kebab,4,1010,Common salt-15 gms; carrot-150 gms;Beans-150 gms; POTATO-150 gms; Peas-150 gms; Gram dal-150 gms;Onion-125 gms; Garlic powder-15 gms; Ginger powder-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms;Bread-15 gms; Corn Flour-15 gms; Olive oil-15 gms
Egg Wrap,1,386,Onion-15 gms; Common salt-7 gms; EGG-120 gms; Milk-15 gms; Cooking oil-15 gms; Black Pepper-7 gms; MUSHROOM-150 gms;Capsicum-7 gms; Roti-50 gms
Falafel,1,113,Onion-15 gms; Garlic-20 gms; Chillies-4 gms; CORIANDER LEAVES-15 gms;Mint leaves-7 gms; Cooking oil-15 gms; Common salt-7 gms; Cumin seeds-15 gms; Garam Masala-15 gms
Brown Rice,4,132,Rice-125 gms; Common salt-7 gms;
Boiled rice,3,132,RICE-125 gms; Common salt-7 gms
Pyaazi Kebab,1,945,Common salt-15 gms; MUTTON-150 gms;Onion-160 gms; Besan-350 gms; Coriander leaves-150 gms;Mint leaves-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Cumin seeds-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Ragi Roti (100%),4,395,Ragi flour-200 gms; Onion-150 gms;Coriander leaves-15 gms; Cumin seeds-15 gms; Common salt-15 gms;
Makki Methi Roti,1,75,Makai Atta-30 gms; Methi-15 gms; Common salt-15 gms; Ajwain-15 gms;
Makki Mooli Roti,1,75,Makai Atta-30 gms; Radish-15 gms; Common salt-15 gms; Ajwain-15 gms;
