Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Chick Pea Salad,Continental,"Lunch,Dinner,Snacks",Vegan,no-allergies,1 small katori,463,196,8,18,10,4,0.26225,"Soaked Black Chickpeas - 1 tbsp; CUCUMBER - 1 small; PEPPER, dry - 1 tbsp; Onion, small - 1 small katori; PARSEY fresh - 1 tbsp; MINT - 1 tbsp; oilve Oil - 0.5 tbsp; Lemon, juice - 1 tbsp; Garlic, small clove - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 gms"
Jaw cheela,South,Breakfast,Veg,no-allergies,1 medium,303,184,5,31,4,10,0.3138,"Barley - 3 tbsp; Chillies, red - 0.5 tbsp; CORIANDER - 0.5 tbsp; Common salt - 0.5 tbsp; Mustard oil - 0.5 tbsp; Onion, small - 1 medium; TOMATO RIPE - 1 medium; Red chilli Power - 1 tbsp; Plain Water - 1 medium cup"
Lettuce wrap (tofu),Continental,"Lunch,Dinner",Veg,no-allergies,1 medium,304,183,2,15,5,7,0.2258,"LETTUCE - 2 number; Onion, big - 60 gms; Carrot, orange - 60 gms; Cucumber, green, elongate - 60 gms; Tomato, ripe, hybrid - 60 gms; Chillies, green-1 - 1 number; CORIANDER LEAVES - 1 tbsp; Lemon, juice - 0.5 tbsp; Common salt - 2 pinch; Pepper, black - 0.5 tbsp; Mustard oil - 1 tbsp; Tofu - 50 g"
Stuffed Oats Bran wheat Roti,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,176,134,4,12,5,3,0.158,"WHEAT, flour(whole) - 15 gms; Common salt - 1 pinch; Cauliflower - 0.25 cup; Spinach - 0.25 cup; Ginger, fresh - 0.5 tbsp; Chillies, green-1 - 0.5 tbsp; Cumin seeds - 0.25 tbsp; CORIANDER - 0.25 tbsp; Mustard oil - 1 tbsp"
Oats Roastie,Continental,Breakfast,Veg,no-allergies,1 gms,372,492,17,77,12,14,0.3095,"Onion, small - 1 small; Carrot, orange - 1 tbsp; Zucchini, green - 1 tbsp; Potato, brown skin, big - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Oats - 1 small bowl; Red chilli Power - 1 tbsp"
Paneer satay,Continental,Breakfast,Veg,dairy allergy,2 number,292,126,10,8,5,1,1.09105,"Paneer - 4 tbsp; Lemon, juice - 0.5 tbsp; Common salt - 1 tbsp; Greek Yogurt - 1 small bowl; SOYA SAUCE - 1 tbsp; Garlic paste - 1 tbsp; Garam Masala - 1 tbsp; Red chilli Power - 1 tbsp"
Wheat Porridge,Continental,Breakfast,Veg,gluten allergy,1 medium katori,289,290,9,57,2,9,0.4225,"Wheat, whole - 0.25 cup; SKIMMED MILK, liquid - 0.5 cup; Cardamom, green - 0.25 tbsp; ALMOND - 0.25 tbsp; Dates, dry, dark brown - 1 number; Raisins, dried, golden - 3 number; Apple, small - 80 gms"
Vegentree (Roasted),Continental,Breakfast,Vegan,no-allergies,1 medium,736,222,3,13,15,8,0.9979,"Garlic, small clove - 2 small; Common salt - 1 tbsp; Capsicum, green - 1 small katori; Capsicum, red - 1 small katori; Capsicum, yellow - 1 small katori; Pepper, black - 0.5 tbsp; Onion, small - 1 small; Brinjal-1 - 1 small; Button mushroom, fresh - 4 small; oilve Oil - 1 tbsp"
LETTUCE WRAP (Chicken),Continental,"Lunch,Dinner,Snacks",Non-veg,soy allergy,1 medium,369,214,20,10,9,4,0.69985,"Lettuce - 2 large; Chicken, poultry, breast, skinless - 70 gms; Tomato, ripe, local - 0.25 cup; Cucumber, green, elongate - 0.25 cup; Onion, small - 2 tbsp; Coriander leaves - 1 tbsp; Mint leaves - 1 tbsp; Lemon, juice - 1 tbsp; SOYA SAUCE - 1 tbsp; Sesame oil - 0.5 tbsp"
PANEER CUTLETS,Continental,Snacks,Veg,dairy allergy,2 slice,876,547,30,45,27,7,2.3425,"Paneer - 1 medium bowl; Potato, brown skin, small - 1 medium; Ginger, fresh - 1 tbsp; Turmeric powder - 0.25 tbsp; Sunflower oil - 1 tbsp; Garlic paste - 1 tbsp; Chillies, green-1 - 2 ml; Coriander Powder - 1 1 tsp; Onion Finely Chopped - 1 small onion; Carrot, red - 1 medium; PEAS green - 1 cup; Cumin seeds - 1 tbsp; Garam Masala - 1 tbsp; Common salt - 1 tbsp"
Chatpate Kale Masoor,North ,"Lunch,Dinner",Veg,no-allergies,1 medium katori,635,366,2,20,31,5,0.7135,"Ginger, fresh - 1 tbsp; Cumin seeds - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; LENTIL (dhal) - 1 cup; oilve Oil - 2 tbsp; Onion Finely Chopped - 1 small onion; Chopped Green Chilli - 1 tbsp; Garlic paste - 1 tbsp; Turmeric powder - 1 tbsp; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; Red chilli Power - 1 tbsp; Tomatoes Chopped - 1 small tomato"
Fish Tikka,North ,Snacks,Non-veg,fish allergies,4 medium,515,238,30,4,10,1,2.3335,"Ginger, fresh - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Boneless Fish - 3 medium fillet; Garlic paste - 1 tbsp; Lemon Water - 1 tbsp; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; Red chilli Power - 1 tbsp; oilve Oil - 2 tbsp; Ground Cumin - 1 tbsp; Plain Yogurt - 1 gm"
Chicken Tikka,North ,Snacks,Non-veg,dairy allergy,4 number,1127,277,27,6,18,1,4.9525,"Ginger, fresh - 0.5 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Roasted Chicken (Boneless) - 5 large piece; Garlic paste - 0.5 tbsp; Coriander Powder - 1.5 tbsp; Plain Yogurt - 1.5 small cup; Paprika powder - 2 tbsp; Cumin Powder - 1.5 tbsp; lemon juice - 2 tbsp"
Chicken Shawarma (With Pita bread and Curd),Continental,"Lunch,Dinner",Non-veg,Gluten Allergy,2 number,500,535,56,5,31,3,2.07,"Chicken, poultry, breast, skinless - 2 medium; Lemon, juice - 1 tbsp; CINNAMOM - 1 tbsp; Common salt - 1 tbsp; Onion, small - 1 medium katori; oilve Oil - 1 tbsp; Cumin seeds - 1 tbsp"
Chicken Satay,Continental,Snacks,Non-veg,peanut allergy,4 number,651,473,35,9,34,2,2.1717,"Chicken, poultry, breast, skinless - 60 gms; Lemon, juice - 1 tbsp; Turmeric powder - 1 tbsp; Cumin seeds - 1 tbsp; Plain Yogurt - 1 tbsp; Garlic paste - 1 tbsp; Red chilli Power - 0.5 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Common salt - 0.5 tbsp; oilve Oil - 1 tbsp; Raw Peanut - 1 medium bowl; COCONUT, milk - 1 glass; Ginger Paste - 0.5 tbsp"
Vegtacos,Continental,Lunch/Dinner,Veg,no-allergies,1 medium,480,322,18,23,15,10,0.9848,"Carrot, orange - 0.25 cup; Peas, fresh - 0.25 cup; Onion, small - 0.5 number; Tomato, ripe, hybrid - 0.25 number; Capsicum, green - 0.25 number; Paneer - 0.25 cup; Chillies, green-1 - 2 number; CUMIN SEEDS - 0.5 tbsp; Turmeric powder - 0.25 tbsp; Chillies, red - 0.5 tbsp; Sunflower oil - 1 tbsp; Common salt - 0.5 tbsp; Coriander leaves - 1 tbsp; Cabbage, green - 0.25 cup; Cucumber, green, elongate - 2 slice; CURDS (cow milk) - 2 tbsp; Lemon, juice - 0.5 tbsp"
Open Sandwich,Continental,Breakfast,Veg,gluten allergy,2 medium,529,197,5,23,11,4,0.6546,"WHEAT, bread, (brown) - 2 slice; Onion, big - 0.5 small bowl; Capsicum, green - 0.5 small bowl; Cucumber, green, elongate - 0.5 small bowl; Cherry Tomatoes - 0.5 small cup; Chaat Masala - 1 tbsp; Common salt - 1 tbsp; BUTTER - 1.5 tbsp; Sweet Corn - 0.5 small cup"
Bread poha,West,"Breakfast,Snacks",Veg,gluten allergy,1 small bowl,496,97,2,5,6,4,0.5236,"WHEAT, bread, (brown) - 1 slice; Onion, small - 1 small; Tomato, ripe, hybrid - 1 small; Peas, fresh - 1 tbsp; Capsicum, green - 0.5 number; Chillies, green-1 - 2 number; Mustard seeds - 0.5 tbsp; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.25 tbsp; Chillies, red - 0.25 tbsp; CORIANDER - 0.5 tbsp; Common salt - 0.25 tbsp; Sunflower oil - 1 tbsp; Coriander leaves - 1 tbsp; LEMON - 0.5 small"
Kala Channa Tikki,North ,Snacks,Veg,legume allergy,3 number,601,160,5,19,6,7,0.506,"Soaked Black Chickpeas - 1 small bowl; POTATO - 1 cup; Onion Finely Chopped - 1 small onion; Chopped Green Chilli - 1 tbsp; Ginger, fresh - 1 tbsp; Cumin seeds - 1 gms; Coriander Powder - 1 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp"
Quinoa Tikki,Continental,Snacks,Veg,dairy allergy,2 number,541,230,6,32,10,4,0.5838,Common salt - 0.5 tbsp; Coriander leaves - 0.5 tbsp; POTATO - 1 small bowl; Onion Finely Chopped - 1 small onion; Mint leaves - 0.5 tbsp; Chopped Green Chilli - 1 tbsp; Cumin seeds - 1 tbsp; oilve Oil - 1 tbsp; Quinoa - 1 medium bowl
Dal Cheela Wrap,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium,356,471,29,68,7,13,0.43175,"Green gram, dal - 0.5 cup; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; Capsicum, green - 2 tbsp; Chillies, green-1 - 1 number; Ginger, fresh - 1 tbsp; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.25 tbsp; Common salt - 1 tbsp; Rice bran oil - 1 tbsp; Lettuce - 1 number"
CHICKEN BREAD ROLL,Continental,Snacks,Non-veg,gluten allergy,6 slice,667,140,14,15,3,1,2.4058,"Capsicum, green - 1 cup; Common salt - 1 tbsp; WHEAT, bread, (white) - 2 slice; Baked Chicken Breast - 1.5 medium piece; Garlic paste - 1 tbsp; GINGER, fresh - 0.25 tbsp; Chopped Green Chilli - 1 tbsp; Coriander Powder - 1 tbsp; Cumin seeds - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp"
Paneer Bhurji,North Indian,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,229,192,9,8,12,0,0.6482,"Paneer - 50 gms; Onion, small - 0.5 small; Tomato, ripe, hybrid - 0.5 small; Chillies, green-1 - 1 number; Turmeric powder - 0.25 tbsp; Cumin seeds - 0.25 tbsp; Chillies, red - 0.25 tbsp; Mustard oil - 1 tbsp; CORIANDER LEAVES - 1 tbsp; Common salt - 0.5 tbsp"
Chicken Lollipop,Continental,Snacks,Non-veg,no-allergies,4 medium,700,673,50,21,42,6,2.7315,"GINGER, fresh - 2 tbsp; Red chilli Power - 2 tbsp; Pepper, black - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Common salt - 1 tbsp; Rice Flour - 2 tbsp; Egg White (Boiled) - 7 extra large; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Chicken Drumsticks - 1 piece; Corn Flour - 2 tbsp"
Jeera Aloo,North ,"Lunch,Dinner",Veg,no-allergies,4 medium katori,585,81,1,1,8,2,0.489,POTATO - 4 medium; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; oilve Oil - 2 tbsp; Red chilli Power - 1 tbsp
MURGH PALAK KORMA KEBAB,North ,Snacks,Non-veg,dairy allergy,4 medium,695,290,30,5,17,4,0.8475,"Chicken, poultry, breast, skinless - 60 gms; Spinach - 2 cup; Ginger, fresh - 2 tbsp; Chillies, red - 1 tbsp; Garlic paste - 1 tbsp; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Hung Curd Dressing - 1 tbsp; Garam Masala - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
DUMPLINGS (Veg),East,Snacks,Veg,soya allergy,4 medium,255,115,4,22,1,4,0.25955,"CARROT - 1 tbsp; CABBAGE - 1 tbsp; Capsicum, green - 1 tbsp; Shiitake mushroom, fresh - 1 tbsp; Garlic, big clove - 0.5 tbsp; Ginger, fresh - 0.5 tbsp; SOYA SAUCE - 1 tbsp; Gingelly oil - 0.5 tbsp; Onion, stalk - 1 tbsp; Wheat flour, atta - 0.5 cup; Common salt - 0.25 tbsp; Chili Sauce - 1 tbsp"
CHICKEN DUMPLING (Non Veg),East,Snacks,Non-veg,no-allergies,4 medium,506,232,22,4,14,1,1.8167,"Common salt - 1 tbsp; Ground Chicken - 1 Cup; Onion Finely Chopped - 1 medium onion; Garlic, small clove - 1 gms; Turmeric powder - 1 tbsp; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; Cumin seeds - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander leaves - 1 tbsp"
Tomato rice (Brown Rice),South,"Lunch,Dinner",Veg,no-allergies,1 medium katori,527,566,14,105,7,9,1.3474,"Rice, raw, brown - 1 cup; TOMATO RIPE - 1 small; Onion, small - 1 small; Chillies, green-1 - 1 small; Turmeric powder - 0.25 tbsp; Cumin seeds - 0.5 tbsp; Mustard seeds - 0.5 tbsp; FENUGREEK SEEDS - 0.5 tbsp; Curry leaves - 3 number; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 0.5 tbsp; Red chilli Power - 1 tbsp"
Paneer Masala,North ,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,564,554,31,35,31,6,1.7647,"Paneer - 100 gms; Turmeric powder - 0.5 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Onion, small - 1 small; Garlic, small clove - 2 small; TOMATO RIPE - 1 medium; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; Red chilli Power - 1 tbsp; Lactose-Free Yogurt - 1 Small Cup"
Whole wheat bread,Continental,Breakfast,Veg,gluten allergy,1 small,147,546,15,84,17,2,0.0907,"WHEAT, flour(whole) - 0.5 cup; YEAST DRIED (food) - 0.25 tbsp; Common salt - 0.5 tbsp; oilve Oil - 1 tbsp"
"Tomato, Beetroot, Amla & Pudina Juice",Continental,Drinks,Veg,no-allergies,1 glass,184,111,3,16,2,9,0.1856,TOMATO RIPE - 1 small; Beet root - 0.5 small; AMLA - 2 small; Mint leaves - 0.25 tbsp; Common salt - 1 tbsp; Plain Water - 1 small glass; Cumin seeds - 1 tbsp
Papaya shake,Continental,"Breakfast,Drinks",Veg,dairy allergy,2 glass,557,68,5,11,0,3,0.9795,"Papaya, ripe - 2 small bowl; Skimmed Milk - 1 medium glass; Black Pepper - 0.5 tbsp"
Hummus,Continental,Snacks,Vegan,nut allergy,1 tbsp,122,349,13,30,18,9,0.2062,"Bengal gram, dal - 4 tbsp; Garlic, small clove - 2 small; Lemon, juice - 1 tbsp; Common salt - 0.5 tbsp; oilve Oil - 1 tbsp; Ground Cumin - 1 tbsp"
Bruschetta,Continental,Snacks,Veg,gluten allergy,1 slice,249,107,3,10,7,3,0.2922,"TOMATO RIPE - 1 small; Garlic, small clove - 1 small; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; Baked Vegetable With Gluten Free Garlic Bread - 1 small slice; Fresh basil leaves - 1 small bunch; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Peas raita,North,Snacks,Veg,dairy allergy,1 small katori,445,226,13,18,11,8,0.8515,"Peas, fresh - 1 medium katori; CURDS (cow milk) - 1 cup; Common salt - 1 tbsp; Cumin seeds - 1 tbsp; Red chilli Power - 1 tbsp"
VegSandwich,Continental,Breakfast,Veg,gluten allergy,1 medium,365,138,4,25,1,4,0.2,"WHEAT, bread, (brown) - 2 slice; Capsicum, red - 1 tbsp; Capsicum, yellow - 1 tbsp; Zucchini, green - 2 tbsp; Cucumber, green, short - 3 slice; Common salt - 1 tbsp; Pepper, black - 2 pinch; Lettuce - 1 small; Carrot, red - 2 tbsp"
